FileObject(id='file-gmDA7tYW2QEJJyjmc2NO0vrv', bytes=934654, created_at=1720429429, filename='sohbetler167732_batch_37000-37499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-VBDxcy95NFL0RqVqEStTAzbo', bytes=843078, created_at=1720429430, filename='sohbetler167732_batch_39000-39499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-p5Rpxt9sEjdeVfpC0gQngUfD', bytes=893602, created_at=1720429431, filename='sohbetler167732_batch_38500-38999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-0LEs8xmW5O3i8r02Yx36JpOy', bytes=892168, created_at=1720429432, filename='sohbetler167732_batch_38000-38499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-UQcyICD4JLuIdoACd6OHoB8J', bytes=877516, created_at=1720429433, filename='sohbetler167732_batch_40000-40499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-jCmQgsRNY2QRKedXmxzZKFxg', bytes=885888, created_at=1720429434, filename='sohbetler167732_batch_39500-39999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-ZXLSmVJUSyYIFAPbqJEFiWNc', bytes=918037, created_at=1720429435, filename='sohbetler167732_batch_41000-41499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-Wizf3oHACgKxWK9QnGvWAKCn', bytes=880840, created_at=1720429436, filename='sohbetler167732_batch_40500-40999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-hwFZG9JdfKXfofwlReeRf2Uk', bytes=896686, created_at=1720429437, filename='sohbetler167732_batch_41500-41999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-wpTwKmixBbdIdqCi9rYzWtCU', bytes=888843, created_at=1720429438, filename='sohbetler167732_batch_42500-42999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-JkC2Ovoe9F2j2kQPOGJaO9Gt', bytes=912795, created_at=1720429439, filename='sohbetler167732_batch_42000-42499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-j1tGFJFgMy6Gr9WaBqEBYOU4', bytes=844495, created_at=1720429440, filename='sohbetler167732_batch_43000-43499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-f5hrmLsZCTqtmFMy17ZdA2Qp', bytes=935602, created_at=1720429442, filename='sohbetler167732_batch_43500-43999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-91gQyoFMRq15GLCftfiG9o79', bytes=924966, created_at=1720429442, filename='sohbetler167732_batch_44000-44499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-1jmYN7ZxOF7LPBbcI3nvMKjM', bytes=807281, created_at=1720429444, filename='sohbetler167732_batch_45000-45499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-e5KDEo5YmuSkw5fxDFixoykL', bytes=891842, created_at=1720429445, filename='sohbetler167732_batch_44500-44999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-AofJNXhFNfodStm6aV3noyTE', bytes=883604, created_at=1720429446, filename='sohbetler167732_batch_45500-45999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-Iv6qJMb05MjdHVUIOVMMVnv6', bytes=859020, created_at=1720429447, filename='sohbetler167732_batch_46000-46499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-ZPhuY9Fmai0V9sktRYdXZDb6', bytes=858841, created_at=1720429448, filename='sohbetler167732_batch_46500-46999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-cjkj7UABdYq8hGWzAd2f9107', bytes=891030, created_at=1720429449, filename='sohbetler167732_batch_47500-47999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-EGGnVQdE0leuQxj804iyEJkV', bytes=879164, created_at=1720429450, filename='sohbetler167732_batch_48000-48499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-nTSy53kSSKryerIXo6uQ9nU3', bytes=856980, created_at=1720429451, filename='sohbetler167732_batch_47000-47499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-oJJdyOHtC7Ba3HVviAeoiwy2', bytes=894278, created_at=1720429452, filename='sohbetler167732_batch_49500-49999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-9lkKebXT9buCTvFFEPXDqAKi', bytes=898743, created_at=1720429453, filename='sohbetler167732_batch_49000-49499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-rbw2HHNCWkHNz3RSzxTFTNnD', bytes=904091, created_at=1720429454, filename='sohbetler167732_batch_48500-48999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-qk4O63eduvp9cwOC3BwgmBwc', bytes=891320, created_at=1720429455, filename='sohbetler167732_batch_50000-50499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-fwC1rOHOWEW9d85rkc3KGAee', bytes=973033, created_at=1720429456, filename='sohbetler167732_batch_50500-50999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-wzxvVfVn4g6qVG1P9KXpaT0c', bytes=1169597, created_at=1720429457, filename='sohbetler167732_batch_51500-51999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-NrsJXoCgUnYmcZLesKcnkOw6', bytes=1039341, created_at=1720429458, filename='sohbetler167732_batch_51000-51499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
